Date,Open,High,Low,Close,Adj Close,Volume
03-01-1995,45.703125,45.84375,45.6875,45.78125,27.655573,324300
04-01-1995,45.984375,46,45.75,46,27.787716,351800
05-01-1995,46.03125,46.109375,45.953125,46,27.787716,89800
06-01-1995,46.09375,46.25,45.90625,46.046875,27.816048,448400
09-01-1995,46.03125,46.09375,46,46.09375,27.844374,36800
10-01-1995,46.203125,46.390625,46.140625,46.140625,27.87269,229800
11-01-1995,46.296875,46.296875,45.8125,46.171875,27.891558,222400
12-01-1995,46.125,46.21875,46.03125,46.1875,27.900988,40300
13-01-1995,46.4375,46.734375,46.375,46.734375,28.23135,170600
16-01-1995,46.71875,47.03125,46.71875,47.015625,28.401272,105100
17-01-1995,46.921875,47.0625,46.859375,47.03125,28.410677,89500
18-01-1995,47,47.078125,46.875,46.984375,28.382366,84500
19-01-1995,46.828125,46.875,46.6875,46.71875,28.221918,139100
20-01-1995,46.65625,46.671875,46.453125,46.546875,28.11809,78700
23-01-1995,46.234375,46.6875,46.203125,46.6875,28.20302,53700
24-01-1995,46.671875,46.75,46.640625,46.75,28.24078,32400
25-01-1995,46.515625,47.046875,46.515625,46.875,28.316294,15700
26-01-1995,46.84375,46.984375,46.75,46.921875,28.344604,9800
27-01-1995,47.234375,47.234375,46.921875,47.109375,28.457886,91200
30-01-1995,47.015625,47.046875,46.84375,46.90625,28.335184,26600
31-01-1995,47,47.171875,46.921875,47.09375,28.448448,127500
01-02-1995,47.15625,47.328125,47,47.078125,28.439003,380200
02-02-1995,47.0625,47.359375,47.0625,47.359375,28.608894,131700
03-02-1995,47.65625,48.109375,47.578125,48.03125,29.014763,405100
06-02-1995,48.015625,48.375,47.96875,48.234375,29.137459,405400
07-02-1995,48.3125,48.3125,48.140625,48.296875,29.175241,702900
08-02-1995,48.234375,48.46875,48.203125,48.296875,29.175241,521500
09-02-1995,48.21875,48.296875,48.125,48.296875,29.175241,390700
10-02-1995,48.234375,48.359375,48.09375,48.359375,29.212982,148300
13-02-1995,48.328125,48.46875,48.328125,48.375,29.222418,79700
14-02-1995,48.53125,48.53125,48.25,48.4375,29.260178,170200
15-02-1995,48.4375,48.765625,48.390625,48.703125,29.42065,431500
16-02-1995,48.640625,48.6875,48.5,48.640625,29.382874,99300
17-02-1995,48.59375,48.625,48.4375,48.453125,29.2696,49100
21-02-1995,48.453125,48.53125,48.421875,48.4375,29.260178,168000
22-02-1995,48.484375,48.796875,48.453125,48.796875,29.477264,386400
23-02-1995,48.984375,49.15625,48.859375,48.875,29.524464,402800
